Time (s),1. Current A(RMS) (1),,Time (s),1. Id A (0.0625),,Time (s),1. Battery Current A (0.0625),,Time (s),1. Target torque % of peak (0.1),,Time (s),1. Velocity RPM (1),,Time (s),1. Torque actual value Nm (0.0625),,Time (s),0x0081_Unit_in_pre-operational  ,,Time (s),1. Battery Voltage V (0.0625),,Time (s),1. Heatsink Temperature DegC (1),,Time (s),1. Torque demand value Nm (0.0625),,Time (s),1. Uq V (0.0625),,Time (s),0x0081_Low_batt  ,,Time (s),1. Throttle Input Voltage V (0.00390625),,Time (s),1. Ud V (0.0625),,Time (s),1. Target Iq A (0.0625),,Time (s),0x0081_Supply_critical  ,,Time (s),1. Iq A (0.0625),,
482.0715,0,,482.0518,-0.3125,,482.0714,0.0,,482.0518,0.0,,482.0715,0,,482.0716,0.0,,,,,482.0714,108.875,,482.0714,31,,482.0715,0.0,,482.0716,0.0,,,,,482.0518,1.32421875,,482.0518,0.0,,482.0716,0.0,,,,,482.0716,-1.6875,,
482.0915,0,,482.0717,-1.375,,482.0914,0.0,,482.0718,0.0,,482.0915,0,,482.0916,0.0,,,,,482.0914,108.9375,,482.0914,31,,482.0915,0.0,,482.0916,0.0,,,,,482.0717,1.2890625,,482.0717,0.0,,482.0916,0.0,,,,,482.0916,-0.75,,
482.1115,0,,482.0918,-0.8125,,482.1114,0.0,,482.0918,0.0,,482.1115,0,,482.1116,0.0,,,,,482.1114,108.875,,482.1114,31,,482.1115,0.0,,482.1116,0.0,,,,,482.0918,1.2890625,,482.0918,0.0,,482.1116,0.0,,,,,482.1116,-2.5,,
482.1315,0,,482.1117,-0.875,,482.1314,0.0,,482.1118,0.0,,482.1315,0,,482.1316,0.0,,,,,482.1314,109.0,,482.1314,31,,482.1315,0.0,,482.1316,0.0,,,,,482.1117,1.32421875,,482.1117,0.0,,482.1316,0.0,,,,,482.1316,0.375,,
482.1515,0,,482.1317,0.1875,,482.1514,0.0,,482.1318,0.0,,482.1515,0,,482.1516,0.0,,,,,482.1514,108.9375,,482.1514,31,,482.1515,0.0,,482.1516,0.0,,,,,482.1317,1.32421875,,482.1317,0.0,,482.1516,0.0,,,,,482.1516,-1.0625,,
482.1715,0,,482.1517,-1.375,,482.1714,0.0,,482.1518,0.0,,482.1715,0,,482.1716,0.0,,,,,482.1714,108.9375,,482.1714,31,,482.1715,0.0,,482.1716,0.0,,,,,482.1517,1.33203125,,482.1517,0.0,,482.1716,0.0,,,,,482.1716,-1.625,,
482.1915,0,,482.1717,-0.3125,,482.1913,0.0,,482.1718,0.0,,482.1915,0,,482.1916,0.0,,,,,482.1913,108.9375,,482.1913,31,,482.1915,0.0,,482.1916,0.0,,,,,482.1717,1.31640625,,482.1717,0.0,,482.1916,0.0,,,,,482.1916,-0.5,,
482.2115,0,,482.1917,-0.3125,,482.2114,0.0,,482.1918,0.0,,482.2115,0,,482.2116,0.0,,,,,482.2114,108.9375,,482.2114,31,,482.2115,0.0,,482.2116,0.0,,,,,482.1917,1.32421875,,482.1917,0.0,,482.2116,0.0,,,,,482.2116,-1.625,,
482.2315,0,,482.2117,-0.3125,,482.2313,0.0,,482.2118,0.0,,482.2315,0,,482.2316,0.0,,,,,482.2313,108.9375,,482.2313,31,,482.2315,0.0,,482.2316,0.0,,,,,482.2117,1.32421875,,482.2117,0.0,,482.2316,0.0,,,,,482.2316,-0.1875,,
482.2515,0,,482.2317,0.1875,,482.2513,0.0,,482.2318,0.0,,482.2515,0,,482.2516,0.0,,,,,482.2513,108.9375,,482.2513,31,,482.2515,0.0,,482.2516,0.0,,,,,482.2317,1.32421875,,482.2317,0.0,,482.2516,0.0,,,,,482.2516,0.125,,
